"Control ID","Requirement","Result","Criticality","Details","OmittedEvaluationResult","OmittedEvaluationDetails","IncorrectResult","IncorrectResultDetails","OriginalResult","OriginalDetails","Comments","ResolutionDate"
"MS.AAD.1.1v1","Legacy authentication SHALL be blocked.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/aad.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/docs/configuration/configuration.md#conditional-access-policy-exclusions' target='_blank' class='indicator indicator-configurable' title='Configurable'>Configurable</a></div>","Error","Shall","This test depends on the following command(s) which did not execute successfully: Get-MgBetaIdentityConditionalAccessPolicy. See terminal output for more details.","N/A","N/A","N/A","N/A","Error","This test depends on the following command(s) which did not execute successfully: Get-MgBetaIdentityConditionalAccessPolicy. See terminal output for more details.","System.Object[]",
"MS.AAD.2.1v1","Users detected as high risk SHALL be blocked.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/aad.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/docs/configuration/configuration.md#conditional-access-policy-exclusions' target='_blank' class='indicator indicator-configurable' title='Configurable'>Configurable</a></div>","Error","Shall","This test depends on the following command(s) which did not execute successfully: Get-MgBetaIdentityConditionalAccessPolicy. See terminal output for more details.","N/A","N/A","N/A","N/A","Error","This test depends on the following command(s) which did not execute successfully: Get-MgBetaIdentityConditionalAccessPolicy. See terminal output for more details.","System.Object[]",
"MS.AAD.2.2v1","A notification SHOULD be sent to the administrator when high-risk users are detected.<div class='policy-indicators'><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/aad.md#msaad22v1-instructions' target='_blank' class='indicator indicator-manual' title='Manual'>Manual</a></div>","N/A","Should/Not-Implemented","This product does not currently have the capability to check compliance for this policy. See Secure Configuration Baseline policy, https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/aad.md#msaad22v1 for instructions on manual check","N/A","N/A","N/A","N/A","N/A","This product does not currently have the capability to check compliance for this policy. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/aad.md#msaad22v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check","System.Object[]",
"MS.AAD.2.3v1","Sign-ins detected as high risk SHALL be blocked.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/aad.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/docs/configuration/configuration.md#conditional-access-policy-exclusions' target='_blank' class='indicator indicator-configurable' title='Configurable'>Configurable</a></div>","Error","Shall","This test depends on the following command(s) which did not execute successfully: Get-MgBetaIdentityConditionalAccessPolicy. See terminal output for more details.","N/A","N/A","N/A","N/A","Error","This test depends on the following command(s) which did not execute successfully: Get-MgBetaIdentityConditionalAccessPolicy. See terminal output for more details.","System.Object[]",
"MS.AAD.3.1v1","Phishing-resistant MFA SHALL be enforced for all users.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/aad.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/docs/configuration/configuration.md#conditional-access-policy-exclusions' target='_blank' class='indicator indicator-configurable' title='Configurable'>Configurable</a></div>","Error","Shall","This test depends on the following command(s) which did not execute successfully: Get-MgBetaIdentityConditionalAccessPolicy. See terminal output for more details.","N/A","N/A","N/A","N/A","Error","This test depends on the following command(s) which did not execute successfully: Get-MgBetaIdentityConditionalAccessPolicy. See terminal output for more details.","System.Object[]",
"MS.AAD.3.2v2","MFA SHALL be enforced for all users.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/aad.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/docs/configuration/configuration.md#conditional-access-policy-exclusions' target='_blank' class='indicator indicator-configurable' title='Configurable'>Configurable</a></div>","Error","Shall","This test depends on the following command(s) which did not execute successfully: Get-MgBetaIdentityConditionalAccessPolicy. See terminal output for more details.","N/A","N/A","N/A","N/A","Error","This test depends on the following command(s) which did not execute successfully: Get-MgBetaIdentityConditionalAccessPolicy. See terminal output for more details.","System.Object[]",
"MS.AAD.3.3v2","If Microsoft Authenticator is enabled, it SHALL be configured to show login context information.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/aad.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Error","Shall","This test depends on the following command(s) which did not execute successfully: Get-MgBetaPolicyAuthenticationMethodPolicy. See terminal output for more details.","N/A","N/A","N/A","N/A","Error","This test depends on the following command(s) which did not execute successfully: Get-MgBetaPolicyAuthenticationMethodPolicy. See terminal output for more details.","System.Object[]",
"MS.AAD.3.4v1","The Authentication Methods Manage Migration feature SHALL be set to Migration Complete.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/aad.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Error - Test results missing","-","Report issue on GitHub, https://github.com/cisagov/ScubaGear/issues","N/A","N/A","N/A","N/A","Error - Test results missing","Report issue on <a href=""https://github.com/cisagov/ScubaGear/issues"" target=""_blank"">GitHub</a>","System.Object[]",
"MS.AAD.3.5v2","The authentication methods SMS, Voice Call, and Email One-Time Passcode (OTP) SHALL be disabled.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/aad.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Error","Shall","This test depends on the following command(s) which did not execute successfully: Get-MgBetaPolicyAuthenticationMethodPolicy. See terminal output for more details.","N/A","N/A","N/A","N/A","Error","This test depends on the following command(s) which did not execute successfully: Get-MgBetaPolicyAuthenticationMethodPolicy. See terminal output for more details.","System.Object[]",
"MS.AAD.3.6v1","Phishing-resistant MFA SHALL be required for highly privileged roles.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/aad.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/docs/configuration/configuration.md#conditional-access-policy-exclusions' target='_blank' class='indicator indicator-configurable' title='Configurable'>Configurable</a></div>","Error","Shall","This test depends on the following command(s) which did not execute successfully: Get-MgBetaIdentityConditionalAccessPolicy. See terminal output for more details.","N/A","N/A","N/A","N/A","Error","This test depends on the following command(s) which did not execute successfully: Get-MgBetaIdentityConditionalAccessPolicy. See terminal output for more details.","System.Object[]",
